elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
PMMoV CpM 1,WWMeasure,sampleID,,lab sheet,__labID__;B;E,get_sample_id
PMMoV CpM 1,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMoV CpM 1,WWMeasure,assayID,,lab sheet,__labID__;C,get_assay_method_id
PMMoV CpM 1,WWMeasure,instrumentID,,lab sheet,__labID__;C,get_instrument_id
PMMoV CpM 1,WWMeasure,reporterID,,,,
PMMoV CpM 1,WWMeasure,analysisDate,,lab sheet,A,
PMMoV CpM 1,WWMeasure,reportDate,,,,
PMMoV CpM 1,WWMeasure,fractionAnalyzed,solid,,,
PMMoV CpM 1,WWMeasure,type,,,F,get_gene_type
PMMoV CpM 1,WWMeasure,unit,gcGs,,,
PMMoV CpM 1,WWMeasure,unitOther,,,,
PMMoV CpM 1,WWMeasure,aggregation,single,,,
PMMoV CpM 1,WWMeasure,aggregationOther,,,,
PMMoV CpM 1,WWMeasure,index,1,,,
PMMoV CpM 1,WWMeasure,value,,lab sheet,Z,
PMMoV CpM 1,WWMeasure,qualityFlag,FALSE,lab sheet,AZ,get_quality_flag
PMMoV CpM 1,WWMeasure,accessToPublic,TRUE,,,
PMMoV CpM 1,WWMeasure,accessToAllOrg,TRUE,,,
PMMoV CpM 1,WWMeasure,accessToSelf,TRUE,,,
PMMoV CpM 1,WWMeasure,accessToPHAC,TRUE,,,
PMMoV CpM 1,WWMeasure,accessToLocalHA,TRUE,,,
PMMoV CpM 1,WWMeasure,accessToProvHA,TRUE,,,
PMMoV CpM 1,WWMeasure,accessToOtherProv,TRUE,,,
PMMoV CpM 1,WWMeasure,accessToDetails,TRUE,,,
PMMoV CpM 1,WWMeasure,notes,,lab sheet,AZ,get_notes
,,,,,,
PMMoV CpM 2,WWMeasure,wwMeasureID,,lab sheet,__labID__;B;A;C;F;E;__const__gcGs_single_2:str,get_uwwmeasure_id
PMMoV CpM 2,WWMeasure,sampleID,,lab sheet,__labID__;B;E,get_sample_id
PMMoV CpM 2,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMoV CpM 2,WWMeasure,assayID,,lab sheet,__labID__;C,get_assay_method_id
PMMoV CpM 2,WWMeasure,instrumentID,,lab sheet,__labID__;C,get_instrument_id
PMMoV CpM 2,WWMeasure,reporterID,,,,
PMMoV CpM 2,WWMeasure,analysisDate,,lab sheet,A,
PMMoV CpM 2,WWMeasure,reportDate,,,,
PMMoV CpM 2,WWMeasure,fractionAnalyzed,solid,,,
PMMoV CpM 2,WWMeasure,type,,,F,get_gene_type
PMMoV CpM 2,WWMeasure,unit,gcGs,,,
PMMoV CpM 2,WWMeasure,unitOther,,,,
PMMoV CpM 2,WWMeasure,aggregation,single,,,
PMMoV CpM 2,WWMeasure,aggregationOther,,,,
PMMoV CpM 2,WWMeasure,index,2,,,
PMMoV CpM 2,WWMeasure,value,,lab sheet,AA,
PMMoV CpM 2,WWMeasure,qualityFlag,FALSE,lab sheet,BA,get_quality_flag
PMMoV CpM 2,WWMeasure,accessToPublic,TRUE,,,
PMMoV CpM 2,WWMeasure,accessToAllOrg,TRUE,,,
PMMoV CpM 2,WWMeasure,accessToSelf,TRUE,,,
PMMoV CpM 2,WWMeasure,accessToPHAC,TRUE,,,
PMMoV CpM 2,WWMeasure,accessToLocalHA,TRUE,,,
PMMoV CpM 2,WWMeasure,accessToProvHA,TRUE,,,
PMMoV CpM 2,WWMeasure,accessToOtherProv,TRUE,,,
PMMoV CpM 2,WWMeasure,accessToDetails,TRUE,,,
PMMoV CpM 2,WWMeasure,notes,,lab sheet,BA,get_notes
,,,,,,
PMMoV CpM 3,WWMeasure,wwMeasureID,,lab sheet,__labID__;B;A;C;F;E;__const__gcGs_single_3:str,get_uwwmeasure_id
PMMoV CpM 3,WWMeasure,sampleID,,lab sheet,__labID__;B;E,get_sample_id
PMMoV CpM 3,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMoV CpM 3,WWMeasure,assayID,,lab sheet,__labID__;C,get_assay_method_id
PMMoV CpM 3,WWMeasure,instrumentID,,lab sheet,__labID__;C,get_instrument_id
PMMoV CpM 3,WWMeasure,reporterID,,,,
PMMoV CpM 3,WWMeasure,analysisDate,,lab sheet,A,
PMMoV CpM 3,WWMeasure,reportDate,,,,
PMMoV CpM 3,WWMeasure,fractionAnalyzed,solid,,,
PMMoV CpM 3,WWMeasure,type,,,F,get_gene_type
PMMoV CpM 3,WWMeasure,unit,gcGs,,,
PMMoV CpM 3,WWMeasure,unitOther,,,,
PMMoV CpM 3,WWMeasure,aggregation,single,,,
PMMoV CpM 3,WWMeasure,aggregationOther,,,,
PMMoV CpM 3,WWMeasure,index,3,,,
PMMoV CpM 3,WWMeasure,value,,lab sheet,AB,
PMMoV CpM 3,WWMeasure,qualityFlag,FALSE,lab sheet,BB,get_quality_flag
PMMoV CpM 3,WWMeasure,accessToPublic,TRUE,,,
PMMoV CpM 3,WWMeasure,accessToAllOrg,TRUE,,,
PMMoV CpM 3,WWMeasure,accessToSelf,TRUE,,,
PMMoV CpM 3,WWMeasure,accessToPHAC,TRUE,,,
PMMoV CpM 3,WWMeasure,accessToLocalHA,TRUE,,,
PMMoV CpM 3,WWMeasure,accessToProvHA,TRUE,,,
PMMoV CpM 3,WWMeasure,accessToOtherProv,TRUE,,,
PMMoV CpM 3,WWMeasure,accessToDetails,TRUE,,,
PMMoV CpM 3,WWMeasure,notes,,lab sheet,BB,get_notes
,,,,,,
,,,,,,
PMMoV CpV 1,WWMeasure,wwMeasureID,,lab sheet,__labID__;B;A;C;F;E;__const__gcL_single_1:str,get_uwwmeasure_id
PMMoV CpV 1,WWMeasure,sampleID,,lab sheet,__labID__;B;E,get_sample_id
PMMoV CpV 1,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMoV CpV 1,WWMeasure,assayID,,lab sheet,__labID__;C,get_assay_method_id
PMMoV CpV 1,WWMeasure,instrumentID,,lab sheet,__labID__;C,get_instrument_id
PMMoV CpV 1,WWMeasure,reporterID,,,,
PMMoV CpV 1,WWMeasure,analysisDate,,lab sheet,A,
PMMoV CpV 1,WWMeasure,reportDate,,,,
PMMoV CpV 1,WWMeasure,fractionAnalyzed,solid,,,
PMMoV CpV 1,WWMeasure,type,,,F,get_gene_type
PMMoV CpV 1,WWMeasure,unit,gcL,,,
PMMoV CpV 1,WWMeasure,unitOther,,,,
PMMoV CpV 1,WWMeasure,aggregation,single,,,
PMMoV CpV 1,WWMeasure,aggregationOther,,,,
PMMoV CpV 1,WWMeasure,index,1,,,
PMMoV CpV 1,WWMeasure,value,,lab sheet,Z;X,get_cpl
PMMoV CpV 1,WWMeasure,qualityFlag,FALSE,lab sheet,BD,get_quality_flag
PMMoV CpV 1,WWMeasure,accessToPublic,TRUE,,,
PMMoV CpV 1,WWMeasure,accessToAllOrg,TRUE,,,
PMMoV CpV 1,WWMeasure,accessToSelf,TRUE,,,
PMMoV CpV 1,WWMeasure,accessToPHAC,TRUE,,,
PMMoV CpV 1,WWMeasure,accessToLocalHA,TRUE,,,
PMMoV CpV 1,WWMeasure,accessToProvHA,TRUE,,,
PMMoV CpV 1,WWMeasure,accessToOtherProv,TRUE,,,
PMMoV CpV 1,WWMeasure,accessToDetails,TRUE,,,
PMMoV CpV 1,WWMeasure,notes,,lab sheet,BD,get_notes
,,,,,,
PMMoV CpV 2,WWMeasure,wwMeasureID,,lab sheet,__labID__;B;A;C;F;E;__const__gcL_single_2:str,get_uwwmeasure_id
PMMoV CpV 2,WWMeasure,sampleID,,lab sheet,__labID__;B;E,get_sample_id
PMMoV CpV 2,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMoV CpV 2,WWMeasure,assayID,,lab sheet,__labID__;C,get_assay_method_id
PMMoV CpV 2,WWMeasure,instrumentID,,lab sheet,__labID__;C,get_instrument_id
PMMoV CpV 2,WWMeasure,reporterID,,,,
PMMoV CpV 2,WWMeasure,analysisDate,,lab sheet,A,
PMMoV CpV 2,WWMeasure,reportDate,,,,
PMMoV CpV 2,WWMeasure,fractionAnalyzed,solid,,,
PMMoV CpV 2,WWMeasure,type,,,F,get_gene_type
PMMoV CpV 2,WWMeasure,unit,gcL,,,
PMMoV CpV 2,WWMeasure,unitOther,,,,
PMMoV CpV 2,WWMeasure,aggregation,single,,,
PMMoV CpV 2,WWMeasure,aggregationOther,,,,
PMMoV CpV 2,WWMeasure,index,2,,,
PMMoV CpV 2,WWMeasure,value,,lab sheet,AA;X,get_cpl
PMMoV CpV 2,WWMeasure,qualityFlag,FALSE,lab sheet,BE,get_quality_flag
PMMoV CpV 2,WWMeasure,accessToPublic,TRUE,,,
PMMoV CpV 2,WWMeasure,accessToAllOrg,TRUE,,,
PMMoV CpV 2,WWMeasure,accessToSelf,TRUE,,,
PMMoV CpV 2,WWMeasure,accessToPHAC,TRUE,,,
PMMoV CpV 2,WWMeasure,accessToLocalHA,TRUE,,,
PMMoV CpV 2,WWMeasure,accessToProvHA,TRUE,,,
PMMoV CpV 2,WWMeasure,accessToOtherProv,TRUE,,,
PMMoV CpV 2,WWMeasure,accessToDetails,TRUE,,,
PMMoV CpV 2,WWMeasure,notes,,lab sheet,BE,get_notes
,,,,,,
PMMoV CpV 3,WWMeasure,wwMeasureID,,lab sheet,__labID__;B;A;C;F;E;__const__gcL_single_3:str,get_uwwmeasure_id
PMMoV CpV 3,WWMeasure,sampleID,,lab sheet,__labID__;B;E,get_sample_id
PMMoV CpV 3,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMoV CpV 3,WWMeasure,assayID,,lab sheet,__labID__;C,get_assay_method_id
PMMoV CpV 3,WWMeasure,instrumentID,,lab sheet,__labID__;C,get_instrument_id
PMMoV CpV 3,WWMeasure,reporterID,,,,
PMMoV CpV 3,WWMeasure,analysisDate,,lab sheet,A,
PMMoV CpV 3,WWMeasure,reportDate,,,,
PMMoV CpV 3,WWMeasure,fractionAnalyzed,solid,,,
PMMoV CpV 3,WWMeasure,type,,,F,get_gene_type
PMMoV CpV 3,WWMeasure,unit,gcL,,,
PMMoV CpV 3,WWMeasure,unitOther,,,,
PMMoV CpV 3,WWMeasure,aggregation,single,,,
PMMoV CpV 3,WWMeasure,aggregationOther,,,,
PMMoV CpV 3,WWMeasure,index,3,,,
PMMoV CpV 3,WWMeasure,value,,lab sheet,AB;X,get_cpl
PMMoV CpV 3,WWMeasure,qualityFlag,FALSE,lab sheet,BF,get_quality_flag
PMMoV CpV 3,WWMeasure,accessToPublic,TRUE,,,
PMMoV CpV 3,WWMeasure,accessToAllOrg,TRUE,,,
PMMoV CpV 3,WWMeasure,accessToSelf,TRUE,,,
PMMoV CpV 3,WWMeasure,accessToPHAC,TRUE,,,
PMMoV CpV 3,WWMeasure,accessToLocalHA,TRUE,,,
PMMoV CpV 3,WWMeasure,accessToProvHA,TRUE,,,
PMMoV CpV 3,WWMeasure,accessToOtherProv,TRUE,,,
PMMoV CpV 3,WWMeasure,accessToDetails,TRUE,,,
PMMoV CpV 3,WWMeasure,notes,,lab sheet,BF,get_notes
