elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
pH initial,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
pH initial,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
pH initial,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
pH initial,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
pH initial,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
pH initial,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
pH initial,WWMeasure,notes,,lab sheet,AA,
Conductivity,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__wqCond:str;P;__const__1:int,get_wwmeasure_id
Conductivity,WWMeasure,reporterID,,static Reporter+lab sheet,T,get_reporter_id
Conductivity,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
Conductivity,WWMeasure,labID,,lab sheet,__labID__,
Conductivity,WWMeasure,assayMethodID,,,,
Conductivity,WWMeasure,analysisDate,,lab sheet,P,
Conductivity,WWMeasure,reportDate,,,,
Conductivity,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
Conductivity,WWMeasure,type,wqCond,,,
Conductivity,WWMeasure,value,,lab sheet,X,validate_value
Conductivity,WWMeasure,unit,uscm,,,
Conductivity,WWMeasure,aggregation,single,,,
Conductivity,WWMeasure,index,1,,,
Conductivity,WWMeasure,qualityFlag,TRUE,lab sheet,Z,has_quality_flag
Conductivity,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
Conductivity,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
Conductivity,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
Conductivity,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
Conductivity,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
Conductivity,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
Conductivity,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
Conductivity,WWMeasure,notes,,lab sheet,AA,
Turbidity,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__wqTurb:str;P;__const__1:int,get_wwmeasure_id
Turbidity,WWMeasure,reporterID,,static Reporter+lab sheet,T,get_reporter_id
Turbidity,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
Turbidity,WWMeasure,labID,,lab sheet,__labID__,
Turbidity,WWMeasure,assayMethodID,,,,
Turbidity,WWMeasure,analysisDate,,lab sheet,P,
Turbidity,WWMeasure,reportDate,,,,
Turbidity,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
Turbidity,WWMeasure,type,wqTurb,,,
Turbidity,WWMeasure,value,,lab sheet,W,validate_value
Turbidity,WWMeasure,unit,ntu,,,
Turbidity,WWMeasure,aggregation,single,,,
Turbidity,WWMeasure,index,1,,,
Turbidity,WWMeasure,qualityFlag,TRUE,lab sheet,Z,has_quality_flag
Turbidity,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
Turbidity,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
Turbidity,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
Turbidity,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
Turbidity,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
Turbidity,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
Turbidity,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
Turbidity,WWMeasure,notes,,lab sheet,AA,
BRSV Ct1,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nBRSV:str;AI;__const__1:int,get_wwmeasure_id
BRSV Ct1,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
BRSV Ct1,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
BRSV Ct1,WWMeasure,labID,,lab sheet,__labID__,
BRSV Ct1,WWMeasure,assayMethodID,,,,
BRSV Ct1,WWMeasure,analysisDate,,lab sheet,AI,
BRSV Ct1,WWMeasure,reportDate,,,,
BRSV Ct1,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
BRSV Ct1,WWMeasure,type,nBRSV,,,
BRSV Ct1,WWMeasure,value,,lab sheet,AL,validate_value
BRSV Ct1,WWMeasure,unit,ct,,,
BRSV Ct1,WWMeasure,aggregation,single,,,
BRSV Ct1,WWMeasure,index,1,,,
BRSV Ct1,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
BRSV Ct1,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
BRSV Ct1,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
BRSV Ct1,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
BRSV Ct1,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
BRSV Ct1,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
BRSV Ct1,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
BRSV Ct1,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
BRSV Ct1,WWMeasure,notes,,lab sheet,BN,
BRSV Ct2,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nBRSV:str;AI;__const__2:int,get_wwmeasure_id
BRSV Ct2,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
BRSV Ct2,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
BRSV Ct2,WWMeasure,labID,,lab sheet,__labID__,
BRSV Ct2,WWMeasure,assayMethodID,,,,
BRSV Ct2,WWMeasure,analysisDate,,lab sheet,AI,
BRSV Ct2,WWMeasure,reportDate,,,,
BRSV Ct2,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
BRSV Ct2,WWMeasure,type,nBRSV,,,
BRSV Ct2,WWMeasure,value,,lab sheet,AM,validate_value
BRSV Ct2,WWMeasure,unit,ct,,,
BRSV Ct2,WWMeasure,aggregation,single,,,
BRSV Ct2,WWMeasure,index,2,,,
BRSV Ct2,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
BRSV Ct2,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
BRSV Ct2,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
BRSV Ct2,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
BRSV Ct2,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
BRSV Ct2,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
BRSV Ct2,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
BRSV Ct2,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
BRSV Ct2,WWMeasure,notes,,lab sheet,BN,
BRSV Ct3,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nBRSV:str;AI;__const__3:int,get_wwmeasure_id
BRSV Ct3,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
BRSV Ct3,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
BRSV Ct3,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
BRSV Ct3,WWMeasure,assayMethodID,,,,
BRSV Ct3,WWMeasure,analysisDate,,lab sheet,AI,
BRSV Ct3,WWMeasure,reportDate,,,,
BRSV Ct3,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
BRSV Ct3,WWMeasure,type,nBRSV,,,
BRSV Ct3,WWMeasure,value,,lab sheet,AN,validate_value
BRSV Ct3,WWMeasure,unit,ct,,,
BRSV Ct3,WWMeasure,aggregation,single,,,
BRSV Ct3,WWMeasure,index,3,,,
BRSV Ct3,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
BRSV Ct3,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
BRSV Ct3,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
BRSV Ct3,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
BRSV Ct3,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
BRSV Ct3,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
BRSV Ct3,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
BRSV Ct3,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
BRSV Ct3,WWMeasure,notes,,lab sheet,BN,
BRSV % recovery,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nBRSV:str;AI;__const__4:int,get_wwmeasure_id
BRSV % recovery,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
BRSV % recovery,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
BRSV % recovery,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
BRSV % recovery,WWMeasure,assayMethodID,,,,
BRSV % recovery,WWMeasure,analysisDate,,lab sheet,AI,
BRSV % recovery,WWMeasure,reportDate,,,,
BRSV % recovery,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
BRSV % recovery,WWMeasure,type,nBRSV,,,
BRSV % recovery,WWMeasure,value,,lab sheet,AS,validate_value
BRSV % recovery,WWMeasure,unit,pctRecovery,,,
BRSV % recovery,WWMeasure,aggregation,single,,,
BRSV % recovery,WWMeasure,index,4,,,
BRSV % recovery,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
BRSV % recovery,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
BRSV % recovery,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
BRSV % recovery,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
BRSV % recovery,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
BRSV % recovery,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
BRSV % recovery,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
BRSV % recovery,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
BRSV % recovery,WWMeasure,notes,,lab sheet,BN,
PMMV Ct1,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nPMMoV:str;AI;__const__1:int,get_wwmeasure_id
PMMV Ct1,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
PMMV Ct1,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
PMMV Ct1,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMV Ct1,WWMeasure,assayMethodID,,,,
PMMV Ct1,WWMeasure,analysisDate,,lab sheet,AI,
PMMV Ct1,WWMeasure,reportDate,,,,
PMMV Ct1,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
PMMV Ct1,WWMeasure,type,nPMMoV,,,
PMMV Ct1,WWMeasure,value,,lab sheet,AU,validate_value
PMMV Ct1,WWMeasure,unit,ct,,,
PMMV Ct1,WWMeasure,aggregation,single,,,
PMMV Ct1,WWMeasure,index,1,,,
PMMV Ct1,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
PMMV Ct1,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
PMMV Ct1,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
PMMV Ct1,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
PMMV Ct1,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
PMMV Ct1,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
PMMV Ct1,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
PMMV Ct1,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
PMMV Ct1,WWMeasure,notes,,lab sheet,BN,
PMMV Ct2,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nPMMoV:str;AI;__const__2:int,get_wwmeasure_id
PMMV Ct2,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
PMMV Ct2,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
PMMV Ct2,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMV Ct2,WWMeasure,assayMethodID,,,,
PMMV Ct2,WWMeasure,analysisDate,,lab sheet,AI,
PMMV Ct2,WWMeasure,reportDate,,,,
PMMV Ct2,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
PMMV Ct2,WWMeasure,type,nPMMoV,,,
PMMV Ct2,WWMeasure,value,,lab sheet,AV,validate_value
PMMV Ct2,WWMeasure,unit,ct,,,
PMMV Ct2,WWMeasure,aggregation,single,,,
PMMV Ct2,WWMeasure,index,2,,,
PMMV Ct2,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
PMMV Ct2,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
PMMV Ct2,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
PMMV Ct2,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
PMMV Ct2,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
PMMV Ct2,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
PMMV Ct2,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
PMMV Ct2,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
PMMV Ct2,WWMeasure,notes,,lab sheet,BN,
PMMV Ct3,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nPMMoV:str;AI;__const__3:int,get_wwmeasure_id
PMMV Ct3,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
PMMV Ct3,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
PMMV Ct3,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMV Ct3,WWMeasure,assayMethodID,,,,
PMMV Ct3,WWMeasure,analysisDate,,lab sheet,AI,
PMMV Ct3,WWMeasure,reportDate,,,,
PMMV Ct3,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
PMMV Ct3,WWMeasure,type,nPMMoV,,,
PMMV Ct3,WWMeasure,value,,lab sheet,AW,validate_value
PMMV Ct3,WWMeasure,unit,ct,,,
PMMV Ct3,WWMeasure,aggregation,single,,,
PMMV Ct3,WWMeasure,index,3,,,
PMMV Ct3,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
PMMV Ct3,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
PMMV Ct3,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
PMMV Ct3,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
PMMV Ct3,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
PMMV Ct3,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
PMMV Ct3,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
PMMV Ct3,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
PMMV Ct3,WWMeasure,notes,,lab sheet,BN,
PMMV gcml,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__nPMMoV:str;AI;__const__4:int,get_wwmeasure_id
PMMV gcml,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
PMMV gcml,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
PMMV gcml,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
PMMV gcml,WWMeasure,assayMethodID,,,,
PMMV gcml,WWMeasure,analysisDate,,lab sheet,AI,
PMMV gcml,WWMeasure,reportDate,,,,
PMMV gcml,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
PMMV gcml,WWMeasure,type,nPMMoV,,,
PMMV gcml,WWMeasure,value,,lab sheet,BB,validate_value
PMMV gcml,WWMeasure,unit,gcml,,,
PMMV gcml,WWMeasure,aggregation,single,,,
PMMV gcml,WWMeasure,index,4,,,
PMMV gcml,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
PMMV gcml,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
PMMV gcml,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
PMMV gcml,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
PMMV gcml,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
PMMV gcml,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
PMMV gcml,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
PMMV gcml,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
PMMV gcml,WWMeasure,notes,,lab sheet,BN,
SARS-CoV-2 Ct1,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__covN2:str;AI;__const__1:int,get_wwmeasure_id
SARS-CoV-2 Ct1,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
SARS-CoV-2 Ct1,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
SARS-CoV-2 Ct1,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
SARS-CoV-2 Ct1,WWMeasure,assayMethodID,,,,
SARS-CoV-2 Ct1,WWMeasure,analysisDate,,lab sheet,AI,
SARS-CoV-2 Ct1,WWMeasure,reportDate,,,,
SARS-CoV-2 Ct1,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
SARS-CoV-2 Ct1,WWMeasure,type,covN2,,,
SARS-CoV-2 Ct1,WWMeasure,value,,lab sheet,BC,validate_value
SARS-CoV-2 Ct1,WWMeasure,unit,ct,,,
SARS-CoV-2 Ct1,WWMeasure,aggregation,single,,,
SARS-CoV-2 Ct1,WWMeasure,index,1,,,
SARS-CoV-2 Ct1,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
SARS-CoV-2 Ct1,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
SARS-CoV-2 Ct1,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
SARS-CoV-2 Ct1,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
SARS-CoV-2 Ct1,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
SARS-CoV-2 Ct1,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
SARS-CoV-2 Ct1,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
SARS-CoV-2 Ct1,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
SARS-CoV-2 Ct1,WWMeasure,notes,,lab sheet,BN,
SARS-CoV-2 Ct2,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__covN2:str;AI;__const__2:int,get_wwmeasure_id
SARS-CoV-2 Ct2,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
SARS-CoV-2 Ct2,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
SARS-CoV-2 Ct2,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
SARS-CoV-2 Ct2,WWMeasure,assayMethodID,,,,
SARS-CoV-2 Ct2,WWMeasure,analysisDate,,lab sheet,AI,
SARS-CoV-2 Ct2,WWMeasure,reportDate,,,,
SARS-CoV-2 Ct2,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
SARS-CoV-2 Ct2,WWMeasure,type,covN2,,,
SARS-CoV-2 Ct2,WWMeasure,value,,lab sheet,BD,validate_value
SARS-CoV-2 Ct2,WWMeasure,unit,ct,,,
SARS-CoV-2 Ct2,WWMeasure,aggregation,single,,,
SARS-CoV-2 Ct2,WWMeasure,index,2,,,
SARS-CoV-2 Ct2,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
SARS-CoV-2 Ct2,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
SARS-CoV-2 Ct2,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
SARS-CoV-2 Ct2,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
SARS-CoV-2 Ct2,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
SARS-CoV-2 Ct2,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
SARS-CoV-2 Ct2,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
SARS-CoV-2 Ct2,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
SARS-CoV-2 Ct2,WWMeasure,notes,,lab sheet,BN,
SARS-CoV-2 Ct3,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__covN2:str;AI;__const__3:int,get_wwmeasure_id
SARS-CoV-2 Ct3,WWMeasure,reporterID,,static Reporter+lab sheet,AK,get_reporter_id
SARS-CoV-2 Ct3,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
SARS-CoV-2 Ct3,WWMeasure,labID,,lab sheet,__labID__,get_lab_id
SARS-CoV-2 Ct3,WWMeasure,assayMethodID,,,,
SARS-CoV-2 Ct3,WWMeasure,analysisDate,,lab sheet,AI,
SARS-CoV-2 Ct3,WWMeasure,reportDate,,,,
SARS-CoV-2 Ct3,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
SARS-CoV-2 Ct3,WWMeasure,type,covN2,,,
SARS-CoV-2 Ct3,WWMeasure,value,,lab sheet,BE,validate_value
SARS-CoV-2 Ct3,WWMeasure,unit,ct,,,
SARS-CoV-2 Ct3,WWMeasure,aggregation,single,,,
SARS-CoV-2 Ct3,WWMeasure,index,3,,,
SARS-CoV-2 Ct3,WWMeasure,qualityFlag,TRUE,lab sheet,BL,has_quality_flag
SARS-CoV-2 Ct3,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
SARS-CoV-2 Ct3,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
SARS-CoV-2 Ct3,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
SARS-CoV-2 Ct3,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
SARS-CoV-2 Ct3,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
SARS-CoV-2 Ct3,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
